% MSC Adams results for 4 bars inverse dynamics experiment.
% See README.md
% timestamp       torque            actual angle
   0.0000000e+00  -6.6003260e+01   0.0000000e+00
   5.0000000e-03  -6.6001430e+01   3.4377180e-03
   1.0000000e-02  -6.5995940e+01   1.3750530e-02
   1.5000000e-02  -6.5986770e+01   3.0937400e-02
   2.0000000e-02  -6.5973890e+01   5.4996610e-02
   2.5000000e-02  -6.5957260e+01   8.5925770e-02
   3.0000000e-02  -6.5936810e+01   1.2372180e-01
   3.5000000e-02  -6.5912490e+01   1.6838080e-01
   4.0000000e-02  -6.5884200e+01   2.1989850e-01
   4.5000000e-02  -6.5851850e+01   2.7826960e-01
   5.0000000e-02  -6.5815350e+01   3.4348830e-01
   5.5000000e-02  -6.5774560e+01   4.1554810e-01
   6.0000000e-02  -6.5729370e+01   4.9444180e-01
   6.5000000e-02  -6.5679620e+01   5.8016150e-01
   7.0000000e-02  -6.5625170e+01   6.7269850e-01
   7.5000000e-02  -6.5565850e+01   7.7204380e-01
   8.0000000e-02  -6.5501490e+01   8.7818730e-01
   8.5000000e-02  -6.5431880e+01   9.9111840e-01
   9.0000000e-02  -6.5356850e+01   1.1108260e+00
   9.5000000e-02  -6.5276170e+01   1.2372980e+00
   1.0000000e-01  -6.5189620e+01   1.3705210e+00
   1.0500000e-01  -6.5096980e+01   1.5104830e+00
   1.1000000e-01  -6.4998010e+01   1.6571690e+00
   1.1500000e-01  -6.4892450e+01   1.8105650e+00
   1.2000000e-01  -6.4780050e+01   1.9706560e+00
   1.2500000e-01  -6.4660540e+01   2.1374240e+00
   1.3000000e-01  -6.4533640e+01   2.3108550e+00
   1.3500000e-01  -6.4399070e+01   2.4909300e+00
   1.4000000e-01  -6.4256540e+01   2.6776310e+00
   1.4500000e-01  -6.4105760e+01   2.8709400e+00
   1.5000000e-01  -6.3946410e+01   3.0708370e+00
   1.5500000e-01  -6.3778200e+01   3.2773020e+00
   1.6000000e-01  -6.3600810e+01   3.4903160e+00
   1.6500000e-01  -6.3413920e+01   3.7098550e+00
   1.7000000e-01  -6.3217210e+01   3.9358990e+00
   1.7500000e-01  -6.3010370e+01   4.1684250e+00
   1.8000000e-01  -6.2793070e+01   4.4074100e+00
   1.8500000e-01  -6.2565000e+01   4.6528290e+00
   1.9000000e-01  -6.2325820e+01   4.9046580e+00
   1.9500000e-01  -6.2075220e+01   5.1628730e+00
   2.0000000e-01  -6.1812890e+01   5.4274460e+00
   2.0500000e-01  -6.1538520e+01   5.6983520e+00
   2.1000000e-01  -6.1251800e+01   5.9755640e+00
   2.1500000e-01  -6.0952440e+01   6.2590540e+00
   2.2000000e-01  -6.0640140e+01   6.5487930e+00
   2.2500000e-01  -6.0314630e+01   6.8447530e+00
   2.3000000e-01  -5.9975640e+01   7.1469040e+00
   2.3500000e-01  -5.9622910e+01   7.4552150e+00
   2.4000000e-01  -5.9256210e+01   7.7696570e+00
   2.4500000e-01  -5.8875320e+01   8.0901970e+00
   2.5000000e-01  -5.8480020e+01   8.4168030e+00
   2.5500000e-01  -5.8070140e+01   8.7494430e+00
   2.6000000e-01  -5.7645490e+01   9.0880840e+00
   2.6500000e-01  -5.7205950e+01   9.4326910e+00
   2.7000000e-01  -5.6751400e+01   9.7832300e+00
   2.7500000e-01  -5.6281730e+01   1.0139670e+01
   2.8000000e-01  -5.5796890e+01   1.0501960e+01
   2.8500000e-01  -5.5296840e+01   1.0870090e+01
   2.9000000e-01  -5.4781580e+01   1.1244000e+01
   2.9500000e-01  -5.4251120e+01   1.1623660e+01
   3.0000000e-01  -5.3705530e+01   1.2009040e+01
   3.0500000e-01  -5.3144910e+01   1.2400090e+01
   3.1000000e-01  -5.2569380e+01   1.2796770e+01
   3.1500000e-01  -5.1979120e+01   1.3199060e+01
   3.2000000e-01  -5.1374320e+01   1.3606890e+01
   3.2500000e-01  -5.0755240e+01   1.4020250e+01
   3.3000000e-01  -5.0122160e+01   1.4439070e+01
   3.3500000e-01  -4.9475410e+01   1.4863330e+01
   3.4000000e-01  -4.8815360e+01   1.5292970e+01
   3.4500000e-01  -4.8142410e+01   1.5727970e+01
   3.5000000e-01  -4.7457020e+01   1.6168260e+01
   3.5500000e-01  -4.6759670e+01   1.6613810e+01
   3.6000000e-01  -4.6050910e+01   1.7064580e+01
   3.6500000e-01  -4.5331310e+01   1.7520520e+01
   3.7000000e-01  -4.4601480e+01   1.7981580e+01
   3.7500000e-01  -4.3862080e+01   1.8447710e+01
   3.8000000e-01  -4.3113800e+01   1.8918880e+01
   3.8500000e-01  -4.2357370e+01   1.9395030e+01
   3.9000000e-01  -4.1593570e+01   1.9876120e+01
   3.9500000e-01  -4.0823170e+01   2.0362100e+01
   4.0000000e-01  -4.0047030e+01   2.0852910e+01
   4.0500000e-01  -3.9265990e+01   2.1348520e+01
   4.1000000e-01  -3.8480940e+01   2.1848860e+01
   4.1500000e-01  -3.7692800e+01   2.2353900e+01
   4.2000000e-01  -3.6902500e+01   2.2863570e+01
   4.2500000e-01  -3.6110990e+01   2.3377840e+01
   4.3000000e-01  -3.5319220e+01   2.3896640e+01
   4.3500000e-01  -3.4528190e+01   2.4419930e+01
   4.4000000e-01  -3.3738860e+01   2.4947650e+01
   4.4500000e-01  -3.2952240e+01   2.5479750e+01
   4.5000000e-01  -3.2169310e+01   2.6016180e+01
   4.5500000e-01  -3.1391050e+01   2.6556890e+01
   4.6000000e-01  -3.0618450e+01   2.7101810e+01
   4.6500000e-01  -2.9852460e+01   2.7650900e+01
   4.7000000e-01  -2.9094050e+01   2.8204100e+01
   4.7500000e-01  -2.8344130e+01   2.8761350e+01
   4.8000000e-01  -2.7603620e+01   2.9322610e+01
   4.8500000e-01  -2.6873400e+01   2.9887800e+01
   4.9000000e-01  -2.6154310e+01   3.0456890e+01
   4.9500000e-01  -2.5447170e+01   3.1029800e+01
   5.0000000e-01  -2.4752750e+01   3.1606490e+01
   5.0500000e-01  -2.4071790e+01   3.2186890e+01
   5.1000000e-01  -2.3404970e+01   3.2770940e+01
   5.1500000e-01  -2.2752930e+01   3.3358600e+01
   5.2000000e-01  -2.2116250e+01   3.3949790e+01
   5.2500000e-01  -2.1495470e+01   3.4544470e+01
   5.3000000e-01  -2.0891060e+01   3.5142570e+01
   5.3500000e-01  -2.0303450e+01   3.5744030e+01
   5.4000000e-01  -1.9732990e+01   3.6348780e+01
   5.4500000e-01  -1.9179970e+01   3.6956780e+01
   5.5000000e-01  -1.8644640e+01   3.7567960e+01
   5.5500000e-01  -1.8127150e+01   3.8182260e+01
   5.6000000e-01  -1.7627620e+01   3.8799620e+01
   5.6500000e-01  -1.7146080e+01   3.9419970e+01
   5.7000000e-01  -1.6682510e+01   4.0043250e+01
   5.7500000e-01  -1.6236830e+01   4.0669410e+01
   5.8000000e-01  -1.5808870e+01   4.1298370e+01
   5.8500000e-01  -1.5398440e+01   4.1930080e+01
   5.9000000e-01  -1.5005260e+01   4.2564470e+01
   5.9500000e-01  -1.4628980e+01   4.3201480e+01
   6.0000000e-01  -1.4269230e+01   4.3841050e+01
   6.0500000e-01  -1.3925550e+01   4.4483110e+01
   6.1000000e-01  -1.3597450e+01   4.5127590e+01
   6.1500000e-01  -1.3284380e+01   4.5774440e+01
   6.2000000e-01  -1.2985730e+01   4.6423590e+01
   6.2500000e-01  -1.2700880e+01   4.7074970e+01
   6.3000000e-01  -1.2429120e+01   4.7728510e+01
   6.3500000e-01  -1.2169750e+01   4.8384160e+01
   6.4000000e-01  -1.1922000e+01   4.9041850e+01
   6.4500000e-01  -1.1685100e+01   4.9701510e+01
   6.5000000e-01  -1.1458210e+01   5.0363070e+01
   6.5500000e-01  -1.1240500e+01   5.1026470e+01
